event_id,name,start_date,end_date,source,status,confidence,canonical_regime
IMD_BOB_DD_2021_01,Deep Depression over Bay of Bengal,2021-09-12,2021-09-15,IMD Monsoon 2021 End-of-Season Report (MAUSAM),OFFICIAL,1.0,DEPRESSION
IMD_CS_GULAB_2021,Cyclonic Storm Gulab / Depression,2021-09-24,2021-09-28,RSMC New Delhi Cyclone Report 2021,OFFICIAL,1.0,DEPRESSION
IMD_BOB_05_2022,Depression BOB 05 over coastal Odisha / Bay of Bengal,2022-08-09,2022-08-10,IMD Monsoon 2022 End-of-Season Report,OFFICIAL,1.0,DEPRESSION
IMD_ARB_01_2022,Depression ARB 01 over Northeast Arabian Sea,2022-08-12,2022-08-13,IMD RSMC Cyclone Report 2022,OFFICIAL,1.0,DEPRESSION
IMD_BOB_06_2022,Depression BOB 06 over Bay of Bengal & Central India,2022-08-14,2022-08-16,IMD Monsoon 2022 End-of-Season Report,OFFICIAL,1.0,DEPRESSION
IMD_BOB_07_2022,Deep Depression BOB 07 across Digha & Central India,2022-08-19,2022-08-23,IMD Monsoon 2022 End-of-Season Report,OFFICIAL,1.0,DEPRESSION
IMD_BOB_08_2022,Depression BOB 08 over South Odisha & North Andhra,2022-09-11,2022-09-15,IMD Monsoon 2022 End-of-Season Report,OFFICIAL,1.0,DEPRESSION
IMD_ESCS_BIPARJOY_2023,Remnant Deep Depression of ESCS Biparjoy,2023-06-16,2023-06-19,IMD RSMC Cyclone Report 2023,OFFICIAL,1.0,DEPRESSION
IMD_BOB_02_2023,Deep Depression BOB 02 over West Bengal & Central India,2023-08-01,2023-08-03,IMD Monsoon 2023 End-of-Season Report,OFFICIAL,1.0,DEPRESSION
IMD_BREAK_2021_01,Prolonged June-July Break Monsoon Spell,2021-06-20,2021-07-11,IMD Monsoon 2021 Report & Pai et al. CMZ Index,OFFICIAL,0.95,BREAK_MONSOON
IMD_BREAK_2022_01,Early September Subdued Monsoon Phase,2022-09-01,2022-09-07,IMD Monsoon 2022 Report,OFFICIAL,0.9,BREAK_MONSOON
IMD_BREAK_2023_01,Major Historic August Break Monsoon Spell (13 Days),2023-08-05,2023-08-17,IMD Monsoon 2023 End-of-Season Report,OFFICIAL,1.0,BREAK_MONSOON
IMD_BREAK_2023_02,Late August Second Break Monsoon Spell,2023-08-27,2023-08-31,IMD Monsoon 2023 End-of-Season Report,OFFICIAL,0.95,BREAK_MONSOON
SCI_ACTIVE_2021_01,Post-Break Vigorous Monsoon Revival Surge,2021-07-12,2021-07-23,Rajeevan et al. 2010 CMZ Surge Index,SCIENTIFIC_SOURCE,0.85,ACTIVE_MONSOON
SCI_ACTIVE_2022_01,Mid-July Widespread Central India Active Surge,2022-07-05,2022-07-15,Rajeevan et al. 2010 CMZ Surge Index,SCIENTIFIC_SOURCE,0.85,ACTIVE_MONSOON
SCI_ACTIVE_2023_01,Late July Peninsular & Central Active Surge,2023-07-18,2023-07-26,Rajeevan et al. 2010 CMZ Surge Index,SCIENTIFIC_SOURCE,0.85,ACTIVE_MONSOON
